% Moku:FrequencyResponseAnalyzer
% Input 1 - DC coupling  50 Ohm impedance  10 Vpp range  output load 50 Ohm  amplitude 5 mVpp  offset 0.000 0 V
% Input 2 - DC coupling  1 MOhm impedance  10 Vpp range  output load 1 MOhm  amplitude 100 mVpp  offset 0.000 0 V
% Logarithmic sweep  calibration off
% Averaging time 10.00 ms  1 cycles; Settling time 2.000 ms  1 cycles
% Measuring fundamental  phase difference between channels 0.000 deg
% Internal 10 MHz clock
% Acquired 2022-08-23 T 15:54:04 -0700
% Frequency (Hz)  Input 1 Magnitude (dB)  Input 1 Phase (deg)  Input 2 Magnitude (dB)  Input 2 Phase (deg)
3.64274628e+06  -5.9858e+01  1.3528e+02  -8.9798e+01  -4.2977e+00
3.60754614e+06  -6.2804e+01  -1.0491e+02  -8.5016e+01  6.1001e+01
3.57268614e+06  -6.3351e+01  1.0523e+02  -9.1839e+01  1.5275e+02
3.53816299e+06  -5.6650e+01  -9.4697e+01  -9.5112e+01  -1.5044e+02
3.50397344e+06  -6.2227e+01  -1.0395e+02  -8.9489e+01  7.0240e+01
3.47011427e+06  -5.8599e+01  -1.4183e+02  -8.9430e+01  1.2415e+02
3.43658228e+06  -7.2072e+01  -1.6511e+02  -8.4849e+01  -1.1571e+02
3.40337431e+06  -6.2029e+01  7.8603e+01  -8.6900e+01  4.9933e+01
3.37048724e+06  -5.9319e+01  -1.5469e+02  -8.9489e+01  1.2750e+01
3.33791796e+06  -6.2506e+01  8.3108e+01  -9.7154e+01  -1.8035e+01
3.30566339e+06  -5.8799e+01  1.8981e+01  -9.1090e+01  1.1731e+02
3.27372050e+06  -5.8688e+01  -1.3234e+02  -8.9798e+01  6.1922e+01
3.24208629e+06  -6.2804e+01  5.1540e+01  -9.6509e+01  1.4072e+02
3.21075775e+06  -6.3351e+01  -8.0908e+00  -9.2102e+01  -1.7966e+02
3.17973194e+06  -7.3943e+01  1.7121e+02  -8.5705e+01  -1.3957e+02
3.14900594e+06  -6.4114e+01  -1.4677e+02  -8.2251e+01  6.0616e+01
3.11857685e+06  -7.0031e+01  1.5596e+02  -8.8277e+01  1.4122e+02
3.08844180e+06  -6.7229e+01  5.8825e+01  -9.1839e+01  -8.3510e+01
3.05859794e+06  -6.8093e+01  9.8966e+01  -8.8123e+01  -2.7904e+01
3.02904247e+06  -5.6783e+01  1.7257e+02  -8.9038e+01  -2.9809e+01
2.99977259e+06  -7.3042e+01  -7.6695e+01  -8.5546e+01  1.0029e+02
